level,protocol,target_mbps,achieved_mbps,latency_ms,jitter_ms,loss_pct,cpu_pct,mem_pct,status
1,UDP,5.00,4.36,nan,nan,100.00,7.57,36.28,OK
2,TCP,5.00,0.00,nan,nan,100.00,6.21,36.29,FAIL
