level,protocol,target_mbps,achieved_mbps,latency_ms,jitter_ms,loss_pct,cpu_pct,mem_pct,status
1,UDP,2.00,1.87,1.00,0.00,0.00,8.96,37.00,OK
2,UDP,4.00,3.46,1.00,0.00,0.00,7.66,36.98,OK
3,UDP,6.00,5.08,1.00,0.00,0.00,10.22,37.00,OK
